Phi[deg],Theta[deg],RealizedGainTotal
-28,12,0.83251
-26,12,0.836607
-24,12,0.840505
-22,12,0.844197
-20,12,0.847682
-18,12,0.850959
-16,12,0.854026
-14,12,0.856887
-12,12,0.859544
-10,12,0.862
-8,12,0.864261
-6,12,0.866333
-4,12,0.868221
-2,12,0.869933
0,12,0.871473
2,12,0.87285
4,12,0.874069
6,12,0.875136
8,12,0.876057
10,12,0.876836
12,12,0.877479
14,12,0.877988
16,12,0.878366
18,12,0.878617
20,12,0.87874
22,12,0.878738
24,12,0.878609
26,12,0.878356
28,12,0.877975
30,12,0.877468
32,12,0.876831
34,12,0.876065
36,12,0.875168
38,12,0.874138
40,12,0.872974
42,12,0.871675
44,12,0.87024
46,12,0.868669
48,12,0.866961
50,12,0.865118
52,12,0.863138
54,12,0.861025
56,12,0.858779
58,12,0.856402
60,12,0.853897
62,12,0.851267
64,12,0.848515
66,12,0.845645
68,12,0.842661
70,12,0.839568
72,12,0.836371
74,12,0.833075
76,12,0.829686
78,12,0.826209
80,12,0.822651
82,12,0.819017
84,12,0.815314
86,12,0.811549
88,12,0.807728
90,12,0.803859
92,12,0.799948
94,12,0.796003
96,12,0.79203
98,12,0.788037
100,12,0.784032
102,12,0.78002
104,12,0.776011
106,12,0.772011
108,12,0.768027
110,12,0.764068
112,12,0.760141
114,12,0.756253
116,12,0.752413
118,12,0.748627
120,12,0.744903
122,12,0.741249
124,12,0.737674
126,12,0.734184
128,12,0.730787
130,12,0.727491
132,12,0.724303
134,12,0.721231
136,12,0.718281
138,12,0.715461
140,12,0.712777
142,12,0.710234
144,12,0.707839
146,12,0.705595
148,12,0.703507
150,12,0.701578
152,12,0.69981
154,12,0.698204
156,12,0.696761
158,12,0.695477
160,12,0.694352
162,12,0.693381
164,12,0.692558
166,12,0.691878
168,12,0.691331
170,12,0.690909
172,12,0.6906
174,12,0.690394
176,12,0.690277
178,12,0.690236
180,12,0.690256
-180,14,0.674929
-178,14,0.675151
-176,14,0.675404
-174,14,0.675665
-172,14,0.675911
-170,14,0.676119
-168,14,0.676267
-166,14,0.676337
-164,14,0.676309
-162,14,0.676169
-160,14,0.675901
-158,14,0.675495
-156,14,0.674944
-154,14,0.674241
-152,14,0.673386
-150,14,0.672378
-148,14,0.671224
-146,14,0.669929
-144,14,0.668505
-142,14,0.666964
-140,14,0.665321
-138,14,0.663596
-136,14,0.661807
-134,14,0.659975
-132,14,0.658125
-130,14,0.656278
-128,14,0.654461
-126,14,0.652698
-124,14,0.651014
-122,14,0.649434
-120,14,0.647982
-118,14,0.646683
-116,14,0.645559
-114,14,0.644632
-112,14,0.643923
-110,14,0.643451
-108,14,0.643234
-106,14,0.643289
-104,14,0.643628
-102,14,0.644267
-100,14,0.645215
-98,14,0.646483
-96,14,0.648077
-94,14,0.650004
-92,14,0.652267
-90,14,0.654869
-88,14,0.657809
-86,14,0.661087
-84,14,0.664697
-82,14,0.668636
-80,14,0.672896
-78,14,0.677468
-76,14,0.682339
-74,14,0.687499
-72,14,0.692931
-70,14,0.698619
-68,14,0.704545
-66,14,0.710688
-64,14,0.717026
-62,14,0.723537
-60,14,0.730194
-58,14,0.736972
-56,14,0.743844
-54,14,0.750782
-52,14,0.757756
-50,14,0.764738
-48,14,0.771699
-46,14,0.77861
-44,14,0.785443
-42,14,0.79217
-40,14,0.798765
-38,14,0.805203
-36,14,0.811462
-34,14,0.817522
-32,14,0.823363
-30,14,0.828971
-28,14,0.834332
-26,14,0.839436
-24,14,0.844276
-22,14,0.848847
-20,14,0.853147
-18,14,0.857177
-16,14,0.860941
-14,14,0.864443
-12,14,0.867691
-10,14,0.870694
-8,14,0.873461
-6,14,0.876004
-4,14,0.878334
-2,14,0.880463
0,14,0.882402
2,14,0.884162
4,14,0.885753
6,14,0.887185
8,14,0.888465
10,14,0.889601
12,14,0.890597
14,14,0.891459
16,14,0.892187
18,14,0.892784
20,14,0.89325
22,14,0.893583
24,14,0.89378
26,14,0.89384
28,14,0.893758
30,14,0.89353
