"Freq [GHz]","Theta [deg]","Phi [deg]","dB(RealizedGainPhi) []","dB(RealizedGainTheta) []","dB(RealizedGainTotal) []"
2,90,-17,-7.13569458381705,-11.5543126265619,-5.795438751453
2,90,-16,-6.91586804748586,-11.3174066382751,-5.57107056479632
2,90,-15,-6.70244373475066,-11.1123953964662,-5.35988503656227
2,90,-14,-6.49653841807179,-10.9389589805079,-5.16259014443774
2,90,-13,-6.29907086987927,-10.7968458787428,-4.97969325459331
2,90,-12,-6.11074799795068,-10.6858666615363,-4.81150086214023
2,90,-11,-5.93205391855204,-10.6058880136383,-4.65811647799976
2,90,-10,-5.7632422080949,-10.5568267596003,-4.51943704806521
2,90,-9,-5.60433161209975,-10.538643422917,-4.39514842755855
2,90,-8,-5.45510559483436,-10.5513347360841,-4.28472061118973
2,90,-7,-5.31511626132467,-10.5949243498389,-4.18740364328753
2,90,-6,-5.18369334145373,-10.6694507567698,-4.10222539657442
2,90,-5,-5.05995904964991,-10.7749511234447,-4.02799269539505
2,90,-4,-4.94284967154714,-10.9114392862011,-3.96329753311695
2,90,-3,-4.83114462586073,-11.0788755723087,-3.90653033698224
2,90,-2,-4.72350345500159,-11.2771253196786,-3.85590228753383
2,90,-1,-4.61851067815403,-11.5059019473494,-3.80947850734243
2,90,0,-4.51472769534623,-11.764689160837,-3.76522339627291
2,90,1,-4.41075000957439,-12.0526354102786,-3.72105843392235
2,90,2,-4.30526704507362,-12.3684122512581,-3.67493138302264
2,90,3,-4.19712094814324,-12.7100272847352,-3.62489410319969
2,90,4,-4.085360159665,-13.0745829300222,-3.56918434630649
2,90,5,-3.96928343111907,-13.4579764132696,-3.50630529992952
2,90,6,-3.84847043715982,-13.8545474060834,-3.43509568605413
2,90,7,-3.72279622082456,-14.256702579528,-3.35478327241979
2,90,8,-3.5924282587269,-14.6545860925261,-3.26501590101787
2,90,9,-3.45780670312944,-15.035922783487,-3.16586648657525
2,90,10,-3.31961003862954,-15.3862240604801,-3.05781149434047
2,90,11,-3.17870969921995,-15.689576180507,-2.94168557095044
2,90,12,-3.03611793700362,-15.9301585484367,-2.81861764210694
2,90,13,-2.89293336016253,-16.0944040200568,-2.68995542898043
2,90,14,-2.75028813712072,-16.1733464456053,-2.55718577429243
2,90,15,-2.60930005829664,-16.1644030123648,-2.42185750978992
2,90,16,-2.47103165351533,-16.0718893008448,-2.28551215919195
2,90,17,-2.336457563734,-15.9060466764466,-2.14962596446502
2,90,18,-2.20644049375141,-15.6809928597513,-2.01556492584756
2,90,19,-2.08171540187049,-15.4123639244029,-1.88455302474577
2,90,20,-1.96288113277089,-15.1153303858539,-1.75765268739338
2,90,21,-1.85039845172023,-14.8033193267981,-1.63575586479233
2,90,22,-1.74459335049705,-14.4874363014367,-1.51958379322257
2,90,23,-1.64566451978043,-14.1764005725823,-1.40969346576129
2,90,24,-1.55369397419651,-13.8767760880523,-1.30648899022924
2,90,25,-1.46865993828059,-13.593327268776,-1.21023624822653
2,90,26,-1.39045122843501,-13.3293928879491,-1.12107954071714
2,90,27,-1.31888248172315,-13.0872237738365,-1.03905916747958
2,90,28,-1.25370967961233,-12.8682639619722,-0.96412911882016
2,90,29,-1.19464549241512,-12.6733733938055,-0.896174250090624
2,90,30,-1.14137403123139,-12.5029986362757,-0.835026463484666
2,90,31,-1.09356464407091,-12.3573007991252,-0.780479542942937
2,90,32,-1.05088443776384,-12.2362497475875,-0.732302384399115
2,90,33,-1.01300925306284,-12.1396924970761,-0.69025044268701
2,90,34,-0.979632871497227,-12.0674021745007,-0.654075284649618
2,90,35,-0.950474291627145,-12.0191125153278,-0.62353219999468
2,90,36,-0.925282979738519,-11.994541672582,-0.598385879907558
2,90,37,-0.903842073963804,-11.9934081654923,-0.578414229217389
2,90,38,-0.885969597794744,-12.0154410660569,-0.563410430412249
2,90,39,-0.871517814307551,-12.0603859716046,-0.553183425433441
2,90,40,-0.860370921086905,-12.1280079007326,-0.547557021922492
2,90,41,-0.852441343117919,-12.2180919445983,-0.546367862466791
